Team,Score,Overs,RR,Inns,Opposition,Ground,Result,Match Date,Scorecard
RCB,49,9.4,5.06,2,v KKR,Eden Gardens,lost,23 Apr 2017,Twenty20
RR,58,15.1,3.82,2,v RCB,Cape Town,lost,18 Apr 2009,Twenty20
RR,59,10.3,5.61,2,v RCB,Jaipur,lost,14 May 2023,Twenty20
Daredevils,66,13.4,4.82,2,v MI,Delhi,lost,6 May 2017,Twenty20
Daredevils,67,17.1,3.9,1,v Kings XI,Mohali,lost,30 Apr 2017,Twenty20
KKR,67,15.2,4.36,1,v MI,Wankhede,lost,16 May 2008,Twenty20
RCB,68,16.1,4.2,1,v SRH,Brabourne,lost,23 Apr 2022,Twenty20
RCB,70,17.1,4.07,1,v CSK,Chennai,lost,23 Mar 2019,Twenty20
RCB,70,15.0,4.66,1,v RR,Abu Dhabi,lost,26 Apr 2014,Twenty20
Kings XI,73,15.5,4.61,1,v Supergiant,Pune,lost,14 May 2017,Twenty20
Kochi,74,16.3,4.48,2,v Chargers,Kochi,lost,27 Apr 2011,Twenty20
CSK,79,15.2,5.15,2,v MI,Wankhede,lost,5 May 2013,Twenty20
Daredevils,80,19.1,4.17,1,v SRH,Hyderabad,lost,4 May 2013,Twenty20
RR,81,15.2,5.28,1,v KKR,Eden Gardens,lost,17 Apr 2011,Twenty20
Chargers,82,18.3,4.43,1,v RCB,DY Patil,lost,24 Apr 2010,Twenty20
RCB,82,15.1,5.4,2,v KKR,Bengaluru,lost,18 Apr 2008,Twenty20
LSG,82,13.5,5.92,2,v GT,Pune,lost,10 May 2022,Twenty20
Daredevils,83,17.3,4.74,2,v CSK,Delhi,lost,18 Apr 2013,Twenty20
KKR,84/8,20.0,4.2,1,v RCB,Abu Dhabi,lost,21 Oct 2020,Twenty20
Daredevils,84,15.4,5.36,2,v CSK,Abu Dhabi,lost,21 Apr 2014,Twenty20
RR,85,16.1,5.25,2,v KKR,Sharjah,lost,7 Oct 2021,Twenty20
MI,87,18.5,4.61,2,v SRH,Wankhede,lost,24 Apr 2018,Twenty20
Daredevils,87,16.1,5.38,2,v RR,Wankhede,lost,30 May 2008,Twenty20
RCB,87,15.2,5.67,2,v CSK,Gqeberha,lost,20 Apr 2009,Twenty20
MI,87,12.5,6.77,2,v Kings XI,Mohali,lost,10 May 2011,Twenty20
Kings XI,88,15.1,5.8,1,v RCB,Indore,lost,14 May 2018,Twenty20
Kings XI,88,13.4,6.43,2,v RCB,Bengaluru,lost,6 May 2015,Twenty20
GT,89,17.3,5.08,1,v DC,Ahmedabad,lost,17 Apr 2024,Twenty20
RR,90/9,20.0,4.5,1,v MI,Sharjah,lost,5 Oct 2021,Twenty20
Kings XI,92/8,20.0,4.6,2,v CSK,Durban,lost,20 May 2009,Twenty20
RR,92,19.5,4.63,1,v RCB,Bengaluru,lost,18 Mar 2010,Twenty20
MI,92,19.2,4.75,1,v Daredevils,Wankhede,lost,16 Apr 2012,Twenty20
RCB,92,19.0,4.84,1,v KKR,Abu Dhabi,lost,20 Sep 2021,Twenty20
MI,92,18.2,5.01,2,v RR,Jaipur,lost,17 Apr 2013,Twenty20
MI,92,16.3,5.57,2,v SRH,Visakhapatnam,lost,8 May 2016,Twenty20
MI,94/8,20.0,4.7,1,v RR,Jaipur,lost,29 Apr 2011,Twenty20
Kings XI,95/9,20.0,4.75,2,v CSK,Chennai,lost,25 Apr 2015,Twenty20
Daredevils,95,18.2,5.18,1,v RCB,Delhi,lost,26 Apr 2015,Twenty20
Daredevils,95,17.4,5.37,1,v MI,Delhi,lost,10 Apr 2011,Twenty20
KKR,95,15.2,6.19,2,v MI,Gqeberha,lost,27 Apr 2009,Twenty20
RCB,96/9,20.0,4.8,2,v Supergiant,Pune,lost,29 Apr 2017,Twenty20
SRH,96,17.4,5.43,2,v MI,Hyderabad,lost,6 Apr 2019,Twenty20
RR,97,18.3,5.24,1,v Kochi,Indore,lost,15 May 2011,Twenty20
CSK,97,16.0,6.06,1,v MI,Wankhede,lost,12 May 2022,Twenty20
Daredevils,98,17.4,5.54,1,v KKR,Eden Gardens,lost,10 Apr 2016,Twenty20
Warriors,99/9,20.0,4.95,1,v Kings XI,Pune,lost,7 Apr 2013,Twenty20
DC,99,16.2,6.06,2,v CSK,Chennai,lost,1 May 2019,Twenty20
Chargers,100,18.4,5.35,1,v MI,Wankhede,lost,29 Apr 2012,Twenty20
Chargers,100,14.4,6.81,2,v CSK,East London,lost,4 May 2009,Twenty20
RR,101/9,20.0,5.05,1,v KKR,Durban,lost,20 May 2009,Twenty20
MI,101/9,20.0,5.05,2,v Warriors,Wankhede,lost,6 Apr 2012,Twenty20
KKR,101,19.4,5.13,1,v Chargers,Cape Town,lost,19 Apr 2009,Twenty20
LSG,101,16.3,6.12,2,v MI,Chennai,lost,24 May 2023,Twenty20
KKR,101,14.3,6.96,2,v LSG,Pune,lost,7 May 2022,Twenty20
Warriors,102/8,20.0,5.1,2,v KKR,Pune,lost,19 May 2012,Twenty20
RR,102,19.5,5.14,2,v SRH,Ahmedabad,lost,8 May 2014,Twenty20
RR,103,16.2,6.3,1,v MI,DY Patil,lost,7 May 2008,Twenty20
Chargers,104,19.2,5.37,2,v CSK,DY Patil,lost,22 Apr 2010,Twenty20
Warriors,104,18.5,5.52,2,v SRH,Hyderabad,lost,5 Apr 2013,Twenty20
Guj Lions,104,18.4,5.57,2,v RCB,Bengaluru,lost,14 May 2016,Twenty20
RCB,105,20.0,5.25,1,v RR,Centurion,lost,7 May 2009,Twenty20
KKR,105,18.2,5.72,2,v MI,Wankhede,lost,7 May 2013,Twenty20
Punjab Kings,106/8,20.0,5.3,1,v CSK,Wankhede,lost,16 Apr 2021,Twenty20
Warriors,106,19.3,5.43,2,v KKR,Pune,lost,9 May 2013,Twenty20
KKR,107,18.5,5.68,1,v MI,Bengaluru,lost,19 May 2017,Twenty20
KKR,108/9,20.0,5.4,1,v CSK,Chennai,lost,9 Apr 2019,Twenty20
LSG,108,19.5,5.44,2,v RCB,Lucknow,lost,1 May 2023,Twenty20
MI,108,19.1,5.63,2,v KKR,Wankhede,lost,16 May 2012,Twenty20
Warriors,108,19.0,5.68,2,v SRH,Pune,lost,17 Apr 2013,Twenty20
KKR,108,18.1,5.94,2,v MI,Eden Gardens,lost,9 May 2018,Twenty20
Supergiant,108,16.1,6.68,2,v Daredevils,Pune,lost,11 Apr 2017,Twenty20
Kochi,109,20.0,5.45,1,v RR,Jaipur,lost,24 Apr 2011,Twenty20
KKR,109,19.2,5.63,2,v CSK,Eden Gardens,lost,16 Mar 2010,Twenty20
CSK,109,19.0,5.73,1,v RR,Jaipur,lost,4 May 2008,Twenty20
RR,109,19.0,5.73,2,v RCB,Pune,lost,20 May 2015,Twenty20
KKR,109,18.2,5.94,2,v Kings XI,Abu Dhabi,lost,26 Apr 2014,Twenty20
CSK,109,17.4,6.16,2,v MI,Chennai,lost,26 Apr 2019,Twenty20
RCB,109,17.0,6.41,2,v Kings XI,Dubai (DICS),lost,24 Sep 2020,Twenty20
CSK,110/8,20.0,5.5,1,v Daredevils,Delhi,lost,10 Apr 2012,Twenty20
DC,110/9,20.0,5.5,1,v MI,Dubai (DICS),lost,31 Oct 2020,Twenty20
Chargers,110,18.4,5.89,1,v KKR,Eden Gardens,lost,20 Apr 2008,Twenty20
Daredevils,110,17.5,6.16,2,v KKR,Eden Gardens,lost,13 May 2008,Twenty20
Kings XI,111/9,20.0,5.55,1,v Daredevils,Delhi,lost,15 Apr 2016,Twenty20
Daredevils,111,19.4,5.64,1,v Kings XI,Delhi,lost,11 Apr 2010,Twenty20
MI,111,18.1,6.11,2,v RCB,Dubai (DICS),lost,26 Sep 2021,Twenty20
CSK,112/8,20.0,5.6,2,v RCB,Chennai,lost,21 May 2008,Twenty20
Kings XI,112/8,20.0,5.6,1,v CSK,Wankhede,lost,31 May 2008,Twenty20
RR,112/7,20.0,5.6,2,v Kings XI,Cape Town,lost,26 Apr 2009,Twenty20
CSK,112/9,20.0,5.6,1,v Daredevils,Chennai,lost,15 Apr 2010,Twenty20
Kings XI,112/8,20.0,5.6,1,v Warriors,DY Patil,lost,10 Apr 2011,Twenty20
Warriors,112/8,20.0,5.6,1,v MI,Pune,lost,11 May 2013,Twenty20
KKR,112/9,20.0,5.6,2,v RCB,Sharjah,lost,12 Oct 2020,Twenty20
CSK,112,19.5,5.64,1,v MI,Chennai,lost,4 Apr 2012,Twenty20
RR,113/9,20.0,5.65,2,v SRH,Hyderabad,lost,17 May 2013,Twenty20
SRH,113,20.0,5.65,1,v MI,Hyderabad,lost,17 May 2015,Twenty20
RCB,113,19.5,5.69,2,v SRH,Hyderabad,lost,31 Mar 2019,Twenty20
RR,113,19.3,5.79,2,v Chargers,Kimberley,lost,11 May 2009,Twenty20
SRH,113,18.3,6.1,1,v KKR,Chennai,lost,26 May 2024,Twenty20
MI,113,17.3,6.45,2,v KKR,DY Patil,lost,9 May 2022,Twenty20
CSK,114/4,20.0,5.7,1,v KKR,Eden Gardens,lost,7 May 2011,Twenty20
Daredevils,114/5,20.0,5.7,1,v CSK,Chennai,lost,12 May 2012,Twenty20
Daredevils,114/8,20.0,5.7,1,v SRH,Delhi,lost,12 Apr 2013,Twenty20
CSK,114/9,20.0,5.7,1,v MI,Sharjah,lost,23 Oct 2020,Twenty20
SRH,114,19.5,5.74,2,v Kings XI,Dubai (DICS),lost,24 Oct 2020,Twenty20
RCB,115/9,20.0,5.75,1,v KKR,Ranchi,lost,12 May 2013,Twenty20
MI,115/9,20.0,5.75,1,v RCB,Dubai (DICS),lost,19 Apr 2014,Twenty20
RR,115/9,20.0,5.75,1,v DC,Delhi,lost,4 May 2019,Twenty20
SRH,115/8,20.0,5.75,1,v KKR,Dubai (DICS),lost,3 Oct 2021,Twenty20
Punjab Kings,115,20.0,5.75,1,v DC,Brabourne,lost,20 Apr 2022,Twenty20
RCB,115,19.3,5.89,2,v RR,Pune,lost,26 Apr 2022,Twenty20
Warriors,115,19.0,6.05,1,v Kings XI,Mohali,lost,12 Apr 2012,Twenty20
Chargers,115,18.2,6.27,2,v MI,Brabourne,lost,3 Apr 2010,Twenty20
Daredevils,115,18.1,6.33,1,v Kings XI,Mohali,lost,25 May 2014,Twenty20
MI,116/9,20.0,5.8,2,v Kings XI,Mohali,lost,25 Apr 2008,Twenty20
MI,116/7,20.0,5.8,2,v Kings XI,Durban,lost,29 Apr 2009,Twenty20
MI,116,20.0,5.8,1,v Daredevils,East London,lost,8 May 2009,Twenty20
CSK,116/9,20.0,5.8,1,v Kings XI,Durban,won,20 May 2009,Twenty20
Kings XI,116,19.0,6.1,2,v Chargers,Dharamsala,lost,21 May 2011,Twenty20
SRH,116,18.5,6.15,2,v DC,Hyderabad,lost,14 Apr 2019,Twenty20
Warriors,117/9,20.0,5.85,2,v CSK,Chennai,lost,25 Apr 2011,Twenty20
RR,117,19.4,5.94,1,v RCB,Bengaluru,lost,20 Apr 2013,Twenty20
DC,117,17.4,6.62,2,v CSK,DY Patil,lost,8 May 2022,Twenty20
Warriors,118/7,20.0,5.9,1,v KKR,DY Patil,lost,19 May 2011,Twenty20
Kings XI,118/8,20.0,5.9,1,v Daredevils,Delhi,lost,1 May 2015,Twenty20
SRH,118/8,20.0,5.9,1,v Supergiants,Hyderabad,lost,26 Apr 2016,Twenty20
SRH,118,18.4,6.32,1,v MI,Wankhede,won,24 Apr 2018,Twenty20
RR,118,17.5,6.61,1,v GT,Jaipur,lost,5 May 2023,Twenty20
Warriors,118,17.2,6.8,1,v MI,Wankhede,lost,20 Apr 2011,Twenty20
Kings XI,119/8,20.0,5.95,1,v MI,Durban,won,29 Apr 2009,Twenty20
Kings XI,119/9,20.0,5.95,1,v MI,Centurion,lost,12 May 2009,Twenty20
Kings XI,119/6,20.0,5.95,1,v KKR,Eden Gardens,lost,30 Apr 2011,Twenty20
Kings XI,119/8,20.0,5.95,1,v Warriors,Mohali,lost,8 May 2011,Twenty20
Warriors,119/6,20.0,5.95,2,v MI,Pune,lost,3 May 2012,Twenty20
SRH,119/8,20.0,5.95,1,v Warriors,Pune,won,17 Apr 2013,Twenty20
KKR,119/9,20.0,5.95,1,v CSK,Eden Gardens,lost,20 Apr 2013,Twenty20
CSK,119/6,20.0,5.95,1,v Daredevils,Raipur,lost,12 May 2015,Twenty20
Kings XI,119,19.2,6.15,2,v SRH,Hyderabad,lost,26 Apr 2018,Twenty20
RCB,119,19.0,6.26,2,v Kings XI,Bengaluru,lost,5 May 2017,Twenty20
Kochi,119,18.5,6.31,2,v Daredevils,Kochi,lost,30 Apr 2011,Twenty20
Chargers,119,17.1,6.93,2,v CSK,Visakhapatnam,lost,7 Apr 2012,Twenty20
Daredevils,120/9,20.0,6.0,1,v Kings XI,Bloemfontein,lost,15 May 2009,Twenty20
Kings XI,120/9,20.0,6.0,2,v RCB,Bengaluru,lost,6 May 2011,Twenty20
MI,120/9,20.0,6.0,1,v Warriors,Pune,won,3 May 2012,Twenty20
CSK,120/7,20.0,6.0,1,v Kings XI,Dharamsala,lost,17 May 2012,Twenty20
Daredevils,120/7,20.0,6.0,1,v Kings XI,Delhi,lost,23 Apr 2013,Twenty20
Kings XI,120/9,20.0,6.0,2,v SRH,Mohali,lost,11 May 2013,Twenty20
RCB,120/7,20.0,6.0,1,v SRH,Sharjah,lost,31 Oct 2020,Twenty20
SRH,120/7,20.0,6.0,2,v Punjab Kings,Sharjah,lost,25 Sep 2021,Twenty20
Punjab Kings,120,19.4,6.1,1,v SRH,Chennai,lost,21 Apr 2021,Twenty20
Daredevils,120,16.3,7.27,2,v MI,Delhi,lost,17 Mar 2010,Twenty20
MI,121/8,20.0,6.05,1,v Supergiants,Wankhede,lost,9 Apr 2016,Twenty20
Daredevils,121/6,20.0,6.05,1,v Supergiants,Visakhapatnam,lost,17 May 2016,Twenty20
RR,121/6,20.0,6.05,2,v DC,Abu Dhabi,lost,25 Sep 2021,Twenty20
SRH,121/8,20.0,6.05,1,v LSG,Lucknow,lost,7 Apr 2023,Twenty20
SRH,121,19.2,6.25,2,v Kings XI,Sharjah,lost,22 Apr 2014,Twenty20
RR,121,17.4,6.84,2,v Daredevils,Delhi,lost,31 Mar 2010,Twenty20
RCB,121,17.0,7.11,2,v Kings XI,Dharamsala,lost,17 May 2011,Twenty20
MI,122/7,20.0,6.1,2,v KKR,Abu Dhabi,lost,16 Apr 2014,Twenty20
RCB,122/9,20.0,6.1,2,v CSK,Wankhede,lost,25 Apr 2021,Twenty20
KKR,123/8,20.0,6.15,1,v Daredevils,Johannesburg,lost,10 May 2009,Twenty20
RCB,123/9,20.0,6.15,2,v KKR,Bengaluru,lost,10 Apr 2012,Twenty20
RCB,123/9,20.0,6.15,2,v Chargers,Hyderabad,lost,20 May 2012,Twenty20
Kings XI,123/9,20.0,6.15,1,v SRH,Hyderabad,lost,19 Apr 2013,Twenty20
Punjab Kings,123/9,20.0,6.15,1,v KKR,Ahmedabad,lost,26 Apr 2021,Twenty20
SRH,123/8,20.0,6.15,2,v KKR,Pune,lost,14 May 2022,Twenty20
RCB,123,17.4,6.96,2,v KKR,Eden Gardens,lost,6 Apr 2023,Twenty20
MI,124/3,20.0,6.2,2,v Warriors,Wankhede,won,20 Apr 2011,Twenty20
Kings XI,124/7,20.0,6.2,1,v KKR,Mohali,lost,18 Apr 2012,Twenty20
RCB,124/8,20.0,6.2,1,v Kings XI,Dubai (DICS),lost,28 Apr 2014,Twenty20
MI,124/9,20.0,6.2,1,v Kings XI,Visakhapatnam,lost,13 May 2016,Twenty20
KKR,124/8,20.0,6.2,1,v Guj Lions,Kanpur,lost,19 May 2016,Twenty20
RCB,124,19.4,6.3,2,v CSK,Chennai,lost,4 May 2015,Twenty20
Kings XI,124,18.5,6.58,1,v RR,Jaipur,lost,14 Apr 2013,Twenty20
Kochi,125/9,20.0,6.25,1,v RCB,Bengaluru,lost,8 May 2011,Twenty20
MI,125/8,20.0,6.25,2,v Chargers,Wankhede,lost,14 May 2011,Twenty20
Warriors,125/6,20.0,6.25,1,v RR,Pune,lost,8 May 2012,Twenty20
Warriors,125/9,20.0,6.25,2,v RR,Jaipur,lost,13 May 2012,Twenty20
CSK,125/9,20.0,6.25,2,v MI,Eden Gardens,lost,26 May 2013,Twenty20
MI,125/6,20.0,6.25,1,v Daredevils,Sharjah,lost,27 Apr 2014,Twenty20
RR,125/9,20.0,6.25,1,v SRH,Hyderabad,lost,9 Apr 2018,Twenty20
CSK,125/5,20.0,6.25,1,v RR,Abu Dhabi,lost,19 Oct 2020,Twenty20
Punjab Kings,125/7,20.0,6.25,1,v SRH,Sharjah,won,25 Sep 2021,Twenty20
GT,125/6,20.0,6.25,2,v DC,Ahmedabad,lost,2 May 2023,Twenty20
MI,125/9,20.0,6.25,1,v RR,Wankhede,lost,1 Apr 2024,Twenty20
SRH,125,19.2,6.46,2,v RCB,Wankhede,lost,8 May 2022,Twenty20
KKR,125,19.0,6.57,2,v RR,Jaipur,lost,8 Apr 2013,Twenty20
RCB,126/8,20.0,6.3,1,v CSK,Chennai,won,21 May 2008,Twenty20
MI,126/8,20.0,6.3,2,v Chargers,Centurion,lost,6 May 2009,Twenty20
KKR,126/9,20.0,6.3,2,v Kochi,Eden Gardens,lost,20 Apr 2011,Twenty20
Chargers,126/7,20.0,6.3,1,v KKR,Cuttack,lost,22 Apr 2012,Twenty20
RR,126/6,20.0,6.3,1,v CSK,Jaipur,lost,10 May 2012,Twenty20
RR,126/8,20.0,6.3,1,v Chargers,Hyderabad,lost,18 May 2012,Twenty20
SRH,126/6,20.0,6.3,1,v Warriors,Hyderabad,won,5 Apr 2013,Twenty20
Guj Lions,126/6,20.0,6.3,1,v SRH,Hyderabad,lost,6 May 2016,Twenty20
Kings XI,126/7,20.0,6.3,1,v SRH,Dubai (DICS),won,24 Oct 2020,Twenty20
RCB,126/9,20.0,6.3,1,v LSG,Lucknow,won,1 May 2023,Twenty20
RR,126,19.3,6.46,2,v CSK,Centurion,lost,30 Apr 2009,Twenty20
RCB,126,19.2,6.51,1,v Kings XI,Bengaluru,lost,5 May 2008,Twenty20
Daredevils,126,19.1,6.57,2,v MI,Visakhapatnam,lost,15 May 2016,Twenty20
CSK,126,18.0,7.0,2,v Punjab Kings,Brabourne,lost,3 Apr 2022,Twenty20
