Player,Span,Mat,Inns,Dismissed,Ct,St,Max Dis Inns,Dis/Inn
MS Dhoni (CSK/RPS),2008-2024,264,257,190,148,42,4 (4ct 0st),0.739
KD Karthik (DC/GL/KKR/KXIP/MI/RCB),2008-2024,257,235,174,137,37,4 (4ct 0st),0.74
WP Saha (CSK/GT/KKR/KXIP/SRH),2008-2024,170,149,113,87,26,4 (4ct 0st),0.758
RR Pant (DC),2016-2024,111,101,95,72,23,4 (2ct 2st),0.94
RV Uthappa (CSK/KKR/MI/PWI/RCB/RR),2008-2022,205,114,90,58,32,4 (2ct 2st),0.789
Q de Kock (DC/LSG/MI/RCB/SRH),2013-2024,107,91,81,65,16,4 (4ct 0st),0.89
PA Patel (CSK/DCH/Kochi/MI/RCB/SRH),2008-2019,139,122,81,65,16,4 (4ct 0st),0.663
SV Samson (DC/RR),2013-2024,168,108,75,59,16,4 (2ct 2st),0.694
NV Ojha (DC/RR/SRH),2009-2018,113,111,75,65,10,4 (4ct 0st),0.675
AC Gilchrist (DCH/KXIP),2008-2013,80,80,67,51,16,4 (4ct 0st),0.837
KL Rahul (KXIP/LSG/PBKS/RCB/SRH),2013-2024,132,74,63,56,7,3 (3ct 0st),0.851
Ishan Kishan (GL/MI),2016-2024,105,60,49,44,5,3 (3ct 0st),0.816
KC Sangakkara (DCH/KXIP/SRH),2008-2013,71,51,43,34,9,5 (5ct 0st),0.843
AB de Villiers (DC/RCB),2008-2021,184,52,36,28,8,3 (3ct 0st),0.692
JM Sharma (PBKS),2022-2024,40,37,28,24,4,3 (3ct 0st),0.756
JM Bairstow (PBKS/SRH),2019-2024,50,28,24,20,4,3 (3ct 0st),0.857
SP Goswami (KKR/RCB/RR/SRH),2008-2020,31,28,23,16,7,2 (1ct 1st),0.821
KM Jadhav (CSK/DC/Kochi/RCB/SRH),2010-2023,95,33,23,16,7,2 (2ct 0st),0.696
MS Bisla (KKR/KXIP/RCB),2010-2015,39,30,22,15,7,3 (3ct 0st),0.733
JC Buttler (MI/RR),2016-2024,107,30,21,20,1,2 (2ct 0st),0.7
H Klaasen (RCB/RR/SRH),2018-2024,35,30,20,13,7,4 (1ct 3st),0.666
M Rawat (PWI/RR),2008-2013,18,17,18,16,2,3 (3ct 0st),1.058
BB McCullum (CSK/GL/KKR/Kochi/RCB),2008-2018,109,18,18,12,6,4 (2ct 2st),1
N Pooran (KXIP/LSG/PBKS/SRH),2019-2024,76,31,18,14,4,3 (2ct 1st),0.58
PD Salt (DC/KKR),2023-2024,21,21,17,17,-,3 (3ct 0st),0.809
DH Yagnik (RR),2011-2014,25,24,17,12,5,3 (3ct 0st),0.708
MV Boucher (KKR/RCB),2008-2011,31,30,17,14,3,2 (2ct 0st),0.566
YV Takawale (MI/RCB),2008-2014,16,13,16,12,4,4 (3ct 1st),1.23
Rahmanullah Gurbaz (KKR),2023-2024,14,12,15,15,-,4 (4ct 0st),1.25
AT Rayudu (CSK/MI),2010-2023,204,20,15,13,2,3 (2ct 1st),0.75
KB Arun Karthik (CSK/RCB),2010-2013,17,16,13,11,2,2 (2ct 0st),0.812
N Saini (KXIP),2012-2012,10,9,11,9,2,2 (2ct 0st),1.222
PR Shah (MI/RR),2008-2011,16,14,11,8,3,2 (1ct 1st),0.785
Kamran Akmal (RR),2008-2008,6,6,9,5,4,2 (2ct 0st),1.5
SP Jackson (KKR),2017-2022,9,7,9,7,2,4 (3ct 1st),1.285
SW Billings (CSK/DC/KKR),2016-2022,30,7,8,7,1,3 (2ct 1st),1.142
MS Wade (DC/GT),2011-2024,15,7,8,7,1,3 (3ct 0st),1.142
MN van Wyk (KKR),2009-2009,5,5,7,7,-,4 (4ct 0st),1.4
CM Gautam (DC/MI),2013-2015,13,13,7,3,4,2 (2ct 0st),0.538
AP Tare (DC/MI/SRH),2010-2017,35,15,7,2,5,2 (0ct 2st),0.466
Abishek Porel (DC),2023-2024,18,5,6,6,-,2 (2ct 0st),1.2
Anuj Rawat (RCB/RR),2021-2024,24,6,6,6,-,4 (4ct 0st),1
KS Bharat (DC/RCB),2021-2022,10,8,5,4,1,2 (2ct 0st),0.625
DJ Jacobs (MI),2011-2012,7,6,4,2,2,1 (1ct 0st),0.666
L Ronchi (MI),2008-2009,5,4,3,3,-,1 (1ct 0st),0.75
SN Khan (DC/KXIP/PBKS/RCB),2015-2023,50,1,2,2,-,2 (2ct 0st),2
SS Shaikh (KKR),2009-2009,2,1,2,2,-,2 (2ct 0st),2
NS Naik (KKR/KXIP),2016-2020,4,2,2,2,-,1 (1ct 0st),1
DT Patil (RCB),2008-2008,2,2,2,2,-,2 (2ct 0st),1
AT Carey (DC),2020-2020,3,3,2,2,-,1 (1ct 0st),0.666
Vishnu Vinod (MI/RCB),2017-2023,6,4,2,-,2,2 (0ct 2st),0.5
U Kaul (KXIP),2008-2008,5,5,2,2,-,2 (2ct 0st),0.4
Prabhsimran Singh (KXIP/PBKS),2019-2024,34,5,2,2,-,1 (1ct 0st),0.4
Anmolpreet Singh (MI/SRH),2021-2024,9,1,1,1,-,1 (1ct 0st),1
KH Devdhar (DCH),2011-2011,1,1,1,-,1,1 (0ct 1st),1
BR Sharath (GT),2024-2024,1,1,1,1,-,1 (1ct 0st),1
Gurkeerat Singh (KXIP/RCB),2012-2020,41,3,1,-,1,1 (0ct 1st),0.333
B Indrajith (KKR),2022-2022,3,3,1,1,-,1 (1ct 0st),0.333
AG Paunikar (RR),2010-2011,5,4,1,1,-,1 (1ct 0st),0.25
BJ Haddin (KKR),2011-2011,1,1,-,-,-,-,-
Litton Das (KKR),2023-2023,1,1,-,-,-,-,-
C Madan (MI),2010-2010,1,1,-,-,-,-,-
TD Paine (PWI),2011-2011,2,1,-,-,-,-,-
GD Phillips (RR/SRH),2021-2023,8,1,-,-,-,-,-
DB Das (KKR),2008-2013,31,2,-,-,-,-,-
MDKJ Perera (RR),2013-2013,2,2,-,-,-,-,-
JR Philippe (RCB),2020-2020,5,2,-,-,-,-,-
PBB Rajapaksa (PBKS),2022-2023,13,2,-,-,-,-,-
N Jagadeesan (CSK/KKR),2020-2023,13,3,-,-,-,-,-
