Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,50+,0,4s,6s
DA Warner (DC/SRH),2009-2024,184,184,22,6565,126,40.52,4697,139.77,4,62,66,11,663,236
V Kohli (RCB),2008-2024,252,244,37,8004,113*,38.66,6065,131.97,8,55,63,10,705,272
S Dhawan (DC/DCH/MI/PBKS/SRH),2008-2024,222,221,29,6769,106*,35.25,5324,127.14,2,51,53,11,768,152
RG Sharma (DCH/MI),2008-2024,257,252,29,6628,109*,29.72,5054,131.14,2,43,45,17,599,280
AB de Villiers (DC/RCB),2008-2021,184,170,40,5162,133*,39.7,3403,151.68,3,40,43,10,413,251
KL Rahul (KXIP/LSG/PBKS/RCB/SRH),2013-2024,132,123,20,4683,132*,45.46,3479,134.6,4,37,41,4,400,187
SK Raina (CSK/GL),2008-2021,205,200,30,5528,100*,32.51,4043,136.73,1,39,40,8,506,203
F du Plessis (CSK/RCB/RPS),2012-2024,145,138,11,4571,96,35.99,3352,136.36,-,37,37,7,421,166
CH Gayle (KKR/KXIP/PBKS/RCB),2009-2021,142,141,16,4965,175*,39.72,3333,148.96,6,31,37,8,404,357
G Gambhir (DC/KKR),2008-2018,154,152,16,4217,93,31.0,3404,123.88,-,36,36,12,492,59
AM Rahane (CSK/DC/KKR/MI/RPS/RR),2008-2024,185,171,17,4642,105*,30.14,3761,123.42,2,30,32,13,478,103
SV Samson (DC/RR),2013-2024,168,163,19,4419,119,30.68,3180,138.96,3,25,28,11,352,206
RV Uthappa (CSK/KKR/MI/PWI/RCB/RR),2008-2022,205,197,17,4952,88,27.51,3799,130.35,-,27,27,8,481,182
JC Buttler (MI/RR),2016-2024,107,106,12,3582,124,38.1,2428,147.52,7,19,26,7,355,161
SA Yadav (KKR/MI),2012-2024,150,135,23,3594,103*,32.08,2473,145.32,2,24,26,10,385,130
Q de Kock (DC/LSG/MI/RCB/SRH),2013-2024,107,107,6,3157,140*,31.25,2352,134.22,2,23,25,4,316,123
SR Watson (CSK/RCB/RR),2008-2020,145,141,16,3874,117*,30.99,2809,137.91,4,21,25,7,375,190
Shubman Gill (GT/KKR),2018-2024,103,100,15,3216,129,37.83,2370,135.69,4,20,24,4,310,95
MS Dhoni (CSK/RPS),2008-2024,264,229,95,5243,84*,39.12,3812,137.53,-,24,24,6,363,252
MK Pandey (DC/KKR/LSG/MI/PWI/RCB/SRH),2008-2024,171,159,27,3850,114*,29.16,3179,121.1,1,22,23,14,335,110
AT Rayudu (CSK/MI),2010-2023,204,187,33,4348,100*,28.23,3409,127.54,1,22,23,14,359,173
KD Karthik (DC/GL/KKR/KXIP/MI/RCB),2008-2024,257,234,50,4842,97*,26.31,3577,135.36,-,22,22,18,466,161
SE Marsh (KXIP),2008-2017,71,69,7,2477,115,39.95,1866,132.74,1,20,21,1,266,78
SS Iyer (DC/KKR),2015-2024,116,115,18,3127,96,32.23,2453,127.47,-,21,21,6,271,113
RD Gaikwad (CSK),2020-2024,66,65,8,2380,108*,41.75,1739,136.86,2,18,20,6,217,91
RR Pant (DC),2016-2024,111,110,17,3284,128*,35.31,2205,148.93,1,18,19,4,296,154
KS Williamson (GT/SRH),2015-2024,79,77,17,2128,89,35.46,1694,125.61,-,18,18,2,185,64
N Rana (KKR/MI),2016-2024,107,101,9,2636,87,28.65,1952,135.04,-,18,18,7,234,132
V Sehwag (DC/KXIP),2008-2015,104,104,5,2728,122,27.55,1755,155.44,2,16,18,7,334,106
GJ Maxwell (DC/KXIP/MI/RCB),2012-2024,134,129,17,2771,95,24.74,1768,156.73,-,18,18,18,232,160
DR Smith (CSK/DCH/GL/MI),2008-2017,91,89,5,2385,87*,28.39,1764,135.2,-,17,17,8,245,117
JH Kallis (KKR/RCB),2008-2014,98,96,11,2427,89*,28.55,2222,109.22,-,17,17,9,255,44
MEK Hussey (CSK/MI),2008-2015,59,58,7,1977,116*,38.76,1612,122.64,1,15,16,1,198,52
Ishan Kishan (GL/MI),2016-2024,105,99,6,2644,99,28.43,1946,135.86,-,16,16,8,255,119
KA Pollard (MI),2010-2022,189,171,52,3412,87*,28.67,2316,147.32,-,16,16,5,218,223
AJ Finch (DC/GL/KKR/KXIP/MI/PWI/RCB/RR/SRH),2010-2022,92,90,7,2091,88*,25.19,1631,128.2,-,15,15,8,214,78
M Vijay (CSK/DC/KXIP),2009-2020,106,106,5,2619,127,25.93,2149,121.87,2,13,15,5,247,91
BB McCullum (CSK/GL/KKR/Kochi/RCB),2008-2018,109,109,5,2880,158*,27.69,2186,131.74,2,13,15,6,293,130
JP Duminy (DC/DCH/MI),2009-2018,83,77,26,2029,78*,39.78,1636,124.02,-,14,14,1,126,79
SR Tendulkar (MI),2008-2013,78,78,11,2334,100*,34.83,1948,119.81,1,13,14,4,295,29
PP Shaw (DC),2018-2024,79,79,-,1892,99,23.94,1283,147.46,-,14,14,7,238,61
MA Agarwal (DC/KXIP/PBKS/RCB/RPS/SRH),2011-2024,127,121,4,2661,106,22.74,2000,133.05,1,13,14,7,263,98
DA Miller (GT/KXIP/RR),2012-2024,130,124,43,2924,101*,36.09,2100,139.23,1,13,14,4,207,134
WP Saha (CSK/GT/KKR/KXIP/SRH),2008-2024,170,145,24,2934,115*,24.24,2300,127.56,1,13,14,7,296,87
YK Pathan (KKR/RR/SRH),2008-2019,174,154,44,3204,100,29.12,2241,142.97,1,13,14,9,262,158
AC Gilchrist (DCH/KXIP),2008-2013,80,80,4,2069,109*,27.22,1495,138.39,2,11,13,7,239,92
Yuvraj Singh (DC/KXIP/MI/PWI/RCB/SRH),2008-2019,132,126,15,2750,83,24.77,2120,129.71,-,13,13,4,217,149
PA Patel (CSK/DCH/Kochi/MI/RCB/SRH),2008-2019,139,137,11,2848,81,22.6,2358,120.78,-,13,13,13,365,49
LMP Simmons (MI),2014-2017,29,29,2,1079,100*,39.96,852,126.64,1,11,12,2,109,44
VR Iyer (KKR),2021-2024,51,49,7,1326,104,31.57,967,137.12,1,11,12,2,121,61
RA Tripathi (KKR/RPS/RR/SRH),2017-2024,95,93,11,2236,93,27.26,1605,139.31,-,12,12,4,223,84
SPD Smith (DC/PWI/RPS/RR),2012-2021,103,93,21,2485,101,34.51,1940,128.09,1,11,12,1,225,60
JM Bairstow (PBKS/SRH),2019-2024,50,50,4,1589,114,34.54,1100,144.45,2,9,11,3,166,69
YBK Jaiswal (RR),2020-2024,53,52,2,1607,124,32.14,1067,150.6,2,9,11,4,198,64
S Badrinath (CSK),2008-2013,95,67,20,1441,71*,30.65,1212,118.89,-,11,11,6,154,28
DPMD Jayawardene (DC/Kochi/KXIP),2008-2013,80,78,15,1802,110*,28.6,1462,123.25,1,10,11,2,200,39
R Dravid (RCB/RR),2008-2013,89,82,5,2174,75*,28.23,1882,115.51,-,11,11,3,268,28
AD Russell (DC/KKR),2012-2024,127,105,20,2484,88*,29.22,1420,174.92,-,11,11,5,170,209
CA Lynn (DCH/KKR/MI),2012-2021,42,42,3,1329,93*,34.07,945,140.63,-,10,10,3,132,66
D Padikkal (LSG/RCB/RR),2020-2024,64,64,2,1559,101*,25.14,1266,123.14,1,9,10,5,169,42
KK Nair (DC/KXIP/RCB/RR),2013-2022,76,68,5,1496,83*,23.74,1171,127.75,-,10,10,3,161,39
KC Sangakkara (DCH/KXIP/SRH),2008-2013,71,68,3,1687,94,25.95,1392,121.19,-,10,10,4,195,27
MP Stoinis (DC/KXIP/LSG/RCB),2016-2024,96,88,22,1866,124*,28.27,1314,142.0,1,9,10,9,150,91
HH Pandya (GT/MI),2015-2024,137,128,40,2525,91,28.69,1734,145.61,-,10,10,6,189,136
DP Conway (CSK),2022-2023,23,22,3,924,92*,48.63,654,141.28,-,9,9,2,99,30
TM Dilshan (DC/RCB),2008-2013,52,50,7,1153,76*,26.81,1007,114.49,-,9,9,6,140,24
S Dube (CSK/RCB/RR),2019-2024,65,61,11,1502,95*,30.04,1024,146.67,-,9,9,3,86,101
N Pooran (KXIP/LSG/PBKS/SRH),2019-2024,76,73,18,1769,77,32.16,1090,162.29,-,9,9,9,112,127
RM Patidar (RCB),2021-2024,27,24,1,799,112*,34.73,503,158.84,1,7,8,1,51,54
ML Hayden (CSK),2008-2010,32,32,2,1107,93,36.9,805,137.51,-,8,8,1,121,44
SS Tiwary (DC/MI/RCB/RPS),2008-2021,93,74,22,1494,61,28.73,1244,120.09,-,8,8,1,111,50
DJ Hooda (KXIP/LSG/PBKS/RR/SRH),2015-2024,118,96,16,1465,64,18.31,1131,129.53,-,8,8,4,96,61
SP Narine (KKR),2012-2024,177,110,20,1534,109,17.04,925,165.83,1,7,8,16,164,97
B Sai Sudharsan (GT),2022-2024,25,25,3,1034,103,47.0,743,139.16,1,6,7,-,95,31
H Klaasen (RCB/RR/SRH),2018-2024,35,32,6,993,104,38.19,590,168.3,1,6,7,1,56,64
SC Ganguly (KKR/PWI),2008-2012,59,56,3,1349,91,25.45,1263,106.8,-,7,7,4,137,42
Abhishek Sharma (DC/SRH),2018-2024,63,61,7,1377,75*,25.5,887,155.24,-,7,7,2,128,73
MK Tiwary (DC/KKR/KXIP/RPS),2008-2018,98,85,26,1695,75*,28.72,1449,116.97,-,7,7,8,156,40
PD Salt (DC/KKR),2023-2024,21,21,2,653,89*,34.36,372,175.53,-,6,6,3,74,34
TM Head (RCB/SRH),2016-2024,25,25,4,772,102,36.76,444,173.87,1,5,6,4,76,40
HH Gibbs (DCH/MI),2008-2012,36,36,4,886,69*,27.68,807,109.78,-,6,6,4,83,31
A Symonds (DCH/MI),2008-2011,39,36,9,974,117*,36.07,750,129.86,1,5,6,-,74,41
NT Tilak Varma (MI),2022-2024,38,38,9,1156,84*,39.86,790,146.32,-,6,6,1,90,58
LS Livingstone (PBKS/RR),2019-2024,39,39,6,939,94,28.45,578,162.45,-,6,6,1,66,66
CL White (DCH/RCB/SRH),2008-2013,47,45,9,954,78,26.5,755,126.35,-,6,6,4,76,36
MM Ali (CSK/RCB),2018-2024,67,57,6,1162,93,22.78,821,141.53,-,6,6,5,95,67
R Parag (RR),2019-2024,70,58,10,1173,84*,24.43,868,135.13,-,6,6,3,84,60
V Shankar (CSK/DC/GT/SRH),2014-2024,72,60,16,1115,63*,25.34,859,129.8,-,6,6,2,80,45
BJ Hodge (KKR/Kochi/RR),2008-2014,66,63,21,1400,73,33.33,1118,125.22,-,6,6,3,122,43
NV Ojha (DC/RR/SRH),2009-2018,113,94,19,1554,94*,20.72,1313,118.35,-,6,6,8,121,79
Mandeep Singh (DC/KKR/KXIP/PBKS/RCB),2010-2023,111,98,16,1706,77*,20.8,1388,122.91,-,6,6,15,176,38
HM Amla (KXIP),2016-2017,16,16,3,577,104*,44.38,407,141.76,2,3,5,2,60,21
ST Jayasuriya (MI),2008-2010,30,30,2,768,114*,27.42,532,144.36,1,4,5,2,84,39
KP Pietersen (DC/RCB/RPS),2009-2016,36,36,9,1001,103*,37.07,743,134.72,1,4,5,3,91,40
AK Markram (PBKS/SRH),2021-2024,44,42,9,995,68*,30.15,767,129.72,-,5,5,2,73,35
SM Curran (CSK/KXIP/PBKS),2019-2024,59,48,13,883,63*,25.22,647,136.47,-,5,5,4,74,37
MC Henriques (DC/KKR/PBKS/RCB/SRH),2009-2021,62,54,18,1000,74*,27.77,788,126.9,-,5,5,2,87,28
DJ Hussey (CSK/KKR/KXIP),2008-2014,64,61,12,1322,71,26.97,1075,122.97,-,5,5,4,90,60
EJG Morgan (KKR/KXIP/RCB/SRH),2010-2021,83,75,13,1405,68*,22.66,1146,122.6,-,5,5,6,112,64
DJ Bravo (CSK/GL/MI),2008-2022,161,113,44,1560,70*,22.6,1204,129.56,-,5,5,5,120,66
